Time,sale_value,redemption_value
2023-08-12T23:00:00Z,388,73
2023-08-13T00:00:00Z,275,62
2023-08-13T01:00:00Z,179,75
2023-08-13T02:00:00Z,116,137
2023-08-13T03:00:00Z,60,239
2023-08-13T04:00:00Z,48,51
2023-08-13T05:00:00Z,66,66
2023-08-13T06:00:00Z,116,128
2023-08-13T07:00:00Z,179,233
2023-08-13T08:00:00Z,274,361
2023-08-13T09:00:00Z,381,501
2023-08-13T10:00:00Z,505,645
2023-08-13T11:00:00Z,621,771
2023-08-13T12:00:00Z,730,863
2023-08-13T13:00:00Z,820,921
2023-08-13T14:00:00Z,891,947
2023-08-13T15:00:00Z,935,919
2023-08-13T16:00:00Z,951,871
2023-08-13T17:00:00Z,929,765
2023-08-13T18:00:00Z,892,645
2023-08-13T19:00:00Z,822,497
2023-08-13T20:00:00Z,718,360
2023-08-13T21:00:00Z,610,239
2023-08-13T22:00:00Z,489,138
2023-08-13T23:00:00Z,386,78
2023-08-14T00:00:00Z,274,42
2023-08-14T01:00:00Z,184,63
2023-08-14T02:00:00Z,107,134
2023-08-14T03:00:00Z,67,247
2023-08-14T04:00:00Z,44,53
2023-08-14T05:00:00Z,67,70
2023-08-14T06:00:00Z,107,136
2023-08-14T07:00:00Z,174,233
2023-08-14T08:00:00Z,273,357
2023-08-14T09:00:00Z,383,510
2023-08-14T10:00:00Z,507,638
2023-08-14T11:00:00Z,617,770
2023-08-14T12:00:00Z,728,873
2023-08-14T13:00:00Z,813,927
2023-08-14T14:00:00Z,881,955
2023-08-14T15:00:00Z,927,923
2023-08-14T16:00:00Z,943,860
2023-08-14T17:00:00Z,930,770
2023-08-14T18:00:00Z,878,646
2023-08-14T19:00:00Z,823,498
2023-08-14T20:00:00Z,729,357
2023-08-14T21:00:00Z,620,239
2023-08-14T22:00:00Z,501,137
2023-08-14T23:00:00Z,383,65
2023-08-15T00:00:00Z,277,55
2023-08-15T01:00:00Z,180,77
2023-08-15T02:00:00Z,104,134
2023-08-15T03:00:00Z,63,227
2023-08-15T04:00:00Z,48,47
2023-08-15T05:00:00Z,65,68
2023-08-15T06:00:00Z,116,143
2023-08-15T07:00:00Z,184,230
2023-08-15T08:00:00Z,274,361
2023-08-15T09:00:00Z,383,505
2023-08-15T10:00:00Z,507,641
2023-08-15T11:00:00Z,621,770
2023-08-15T12:00:00Z,725,864
2023-08-15T13:00:00Z,825,927
2023-08-15T14:00:00Z,889,953
2023-08-15T15:00:00Z,933,924
2023-08-15T16:00:00Z,941,864
2023-08-15T17:00:00Z,929,757
2023-08-15T18:00:00Z,891,638
2023-08-15T19:00:00Z,827,500
2023-08-15T20:00:00Z,728,359
2023-08-15T21:00:00Z,619,243
2023-08-15T22:00:00Z,507,135
2023-08-15T23:00:00Z,383,66
2023-08-16T00:00:00Z,276,45
2023-08-16T01:00:00Z,193,73
2023-08-16T02:00:00Z,115,136
2023-08-16T03:00:00Z,60,239
2023-08-16T04:00:00Z,49,46
2023-08-16T05:00:00Z,65,69
2023-08-16T06:00:00Z,110,146
2023-08-16T07:00:00Z,190,235
2023-08-16T08:00:00Z,275,364
2023-08-16T09:00:00Z,378,500
2023-08-16T10:00:00Z,497,643
2023-08-16T11:00:00Z,616,770
2023-08-16T12:00:00Z,715,872
2023-08-16T13:00:00Z,818,922
2023-08-16T14:00:00Z,897,951
2023-08-16T15:00:00Z,935,921
2023-08-16T16:00:00Z,936,863
2023-08-16T17:00:00Z,935,768
2023-08-16T18:00:00Z,884,641
2023-08-16T19:00:00Z,817,502
2023-08-16T20:00:00Z,721,365
2023-08-16T21:00:00Z,619,232
2023-08-16T22:00:00Z,493,141
2023-08-16T23:00:00Z,386,75
2023-08-17T00:00:00Z,275,52
2023-08-17T01:00:00Z,182,70
2023-08-17T02:00:00Z,110,130
2023-08-17T03:00:00Z,63,244
2023-08-17T04:00:00Z,54,45
2023-08-17T05:00:00Z,64,71
2023-08-17T06:00:00Z,108,147
2023-08-17T07:00:00Z,172,236
2023-08-17T08:00:00Z,276,368
2023-08-17T09:00:00Z,385,496
2023-08-17T10:00:00Z,500,643
2023-08-17T11:00:00Z,618,762
2023-08-17T12:00:00Z,722,859
2023-08-17T13:00:00Z,821,921
2023-08-17T14:00:00Z,890,947
2023-08-17T15:00:00Z,933,936
2023-08-17T16:00:00Z,953,868
2023-08-17T17:00:00Z,937,771
2023-08-17T18:00:00Z,888,640
2023-08-17T19:00:00Z,824,496
2023-08-17T20:00:00Z,730,358
2023-08-17T21:00:00Z,619,233
2023-08-17T22:00:00Z,496,140
2023-08-17T23:00:00Z,390,72
2023-08-18T00:00:00Z,277,53
2023-08-18T01:00:00Z,188,73
2023-08-18T02:00:00Z,112,141
2023-08-18T03:00:00Z,65,235
2023-08-18T04:00:00Z,49,39
2023-08-18T05:00:00Z,68,69
2023-08-18T06:00:00Z,114,144
2023-08-18T07:00:00Z,188,231
2023-08-18T08:00:00Z,274,358
2023-08-18T09:00:00Z,379,496
2023-08-18T10:00:00Z,499,641
2023-08-18T11:00:00Z,626,750
2023-08-18T12:00:00Z,723,861
2023-08-18T13:00:00Z,820,925
2023-08-18T14:00:00Z,888,951
2023-08-18T15:00:00Z,935,929
2023-08-18T16:00:00Z,954,857
2023-08-18T17:00:00Z,939,762
2023-08-18T18:00:00Z,887,641
2023-08-18T19:00:00Z,812,497
2023-08-18T20:00:00Z,714,361
2023-08-18T21:00:00Z,614,234
2023-08-18T22:00:00Z,489,132
2023-08-18T23:00:00Z,381,67
2023-08-19T00:00:00Z,277,56
2023-08-19T01:00:00Z,185,62
2023-08-19T02:00:00Z,104,133
2023-08-19T03:00:00Z,69,237
2023-08-19T04:00:00Z,52,50
2023-08-19T05:00:00Z,65,69
2023-08-19T06:00:00Z,111,136
2023-08-19T07:00:00Z,187,239
2023-08-19T08:00:00Z,279,363
2023-08-19T09:00:00Z,375,496
2023-08-19T10:00:00Z,497,641
2023-08-19T11:00:00Z,610,760
2023-08-19T12:00:00Z,724,864
2023-08-19T13:00:00Z,818,934
2023-08-19T14:00:00Z,882,950
2023-08-19T15:00:00Z,936,929
2023-08-19T16:00:00Z,953,862
2023-08-19T17:00:00Z,939,755
2023-08-19T18:00:00Z,888,639
2023-08-19T19:00:00Z,824,508
2023-08-19T20:00:00Z,721,356
2023-08-19T21:00:00Z,617,235
2023-08-19T22:00:00Z,504,135
2023-08-19T23:00:00Z,378,80
2023-08-20T00:00:00Z,267,45
2023-08-20T01:00:00Z,183,73
2023-08-20T02:00:00Z,116,128
2023-08-20T03:00:00Z,68,236
2023-08-20T04:00:00Z,51,50
2023-08-20T05:00:00Z,55,60
2023-08-20T06:00:00Z,111,136
2023-08-20T07:00:00Z,179,237
2023-08-20T08:00:00Z,280,365
2023-08-20T09:00:00Z,384,504
2023-08-20T10:00:00Z,494,637
2023-08-20T11:00:00Z,608,763
2023-08-20T12:00:00Z,728,865
2023-08-20T13:00:00Z,819,917
2023-08-20T14:00:00Z,886,948
2023-08-20T15:00:00Z,942,928
2023-08-20T16:00:00Z,951,860
2023-08-20T17:00:00Z,942,761
2023-08-20T18:00:00Z,892,636
2023-08-20T19:00:00Z,814,495
2023-08-20T20:00:00Z,719,358
2023-08-20T21:00:00Z,616,237
2023-08-20T22:00:00Z,498,137
2023-08-20T23:00:00Z,387,81
2023-08-21T00:00:00Z,271,50
2023-08-21T01:00:00Z,184,72
2023-08-21T02:00:00Z,113,138
2023-08-21T03:00:00Z,73,237
2023-08-21T04:00:00Z,52,54
2023-08-21T05:00:00Z,66,69
2023-08-21T06:00:00Z,118,135
2023-08-21T07:00:00Z,181,242
2023-08-21T08:00:00Z,268,375
2023-08-21T09:00:00Z,381,502
2023-08-21T10:00:00Z,498,638
2023-08-21T11:00:00Z,617,761
2023-08-21T12:00:00Z,724,860
2023-08-21T13:00:00Z,827,932
2023-08-21T14:00:00Z,891,947
2023-08-21T15:00:00Z,931,928
2023-08-21T16:00:00Z,952,861
2023-08-21T17:00:00Z,944,765
2023-08-21T18:00:00Z,888,639
2023-08-21T19:00:00Z,819,497
2023-08-21T20:00:00Z,725,365
2023-08-21T21:00:00Z,611,235
2023-08-21T22:00:00Z,502,134
2023-08-21T23:00:00Z,385,73
2023-08-22T00:00:00Z,279,51
2023-08-22T01:00:00Z,181,78
2023-08-22T02:00:00Z,101,144
2023-08-22T03:00:00Z,58,241
2023-08-22T04:00:00Z,49,45
2023-08-22T05:00:00Z,57,76
2023-08-22T06:00:00Z,108,134
2023-08-22T07:00:00Z,172,229
2023-08-22T08:00:00Z,274,358
2023-08-22T09:00:00Z,379,502
2023-08-22T10:00:00Z,499,636
2023-08-22T11:00:00Z,626,755
2023-08-22T12:00:00Z,727,864
2023-08-22T13:00:00Z,816,932
2023-08-22T14:00:00Z,884,943
2023-08-22T15:00:00Z,932,930
2023-08-22T16:00:00Z,950,861
2023-08-22T17:00:00Z,938,769
2023-08-22T18:00:00Z,882,642
2023-08-22T19:00:00Z,823,497
2023-08-22T20:00:00Z,723,360
2023-08-22T21:00:00Z,617,240
2023-08-22T22:00:00Z,507,138
2023-08-22T23:00:00Z,382,69
2023-08-23T00:00:00Z,275,47
2023-08-23T01:00:00Z,181,68
2023-08-23T02:00:00Z,109,137
2023-08-23T03:00:00Z,66,236
2023-08-23T04:00:00Z,44,47
2023-08-23T05:00:00Z,68,72
2023-08-23T06:00:00Z,116,138
2023-08-23T07:00:00Z,175,240
2023-08-23T08:00:00Z,276,361
2023-08-23T09:00:00Z,381,501
2023-08-23T10:00:00Z,501,640
2023-08-23T11:00:00Z,623,763
2023-08-23T12:00:00Z,722,859
2023-08-23T13:00:00Z,813,930
2023-08-23T14:00:00Z,896,945
2023-08-23T15:00:00Z,935,923
2023-08-23T16:00:00Z,956,867
2023-08-23T17:00:00Z,934,762
2023-08-23T18:00:00Z,890,641
2023-08-23T19:00:00Z,827,496
2023-08-23T20:00:00Z,726,351
2023-08-23T21:00:00Z,616,227
2023-08-23T22:00:00Z,505,136
2023-08-23T23:00:00Z,393,75
2023-08-24T00:00:00Z,272,52
2023-08-24T01:00:00Z,181,75
2023-08-24T02:00:00Z,112,133
2023-08-24T03:00:00Z,63,227
2023-08-24T04:00:00Z,54,50
2023-08-24T05:00:00Z,73,72
2023-08-24T06:00:00Z,114,139
2023-08-24T07:00:00Z,179,241
2023-08-24T08:00:00Z,279,358
2023-08-24T09:00:00Z,387,500
2023-08-24T10:00:00Z,498,634
2023-08-24T11:00:00Z,616,766
2023-08-24T12:00:00Z,714,865
2023-08-24T13:00:00Z,816,934
2023-08-24T14:00:00Z,890,947
2023-08-24T15:00:00Z,939,929
2023-08-24T16:00:00Z,942,867
2023-08-24T17:00:00Z,932,763
2023-08-24T18:00:00Z,890,639
2023-08-24T19:00:00Z,811,506
2023-08-24T20:00:00Z,732,359
2023-08-24T21:00:00Z,612,229
2023-08-24T22:00:00Z,496,134
2023-08-24T23:00:00Z,373,82
2023-08-25T00:00:00Z,273,47
2023-08-25T01:00:00Z,186,68
2023-08-25T02:00:00Z,106,138
2023-08-25T03:00:00Z,68,242
2023-08-25T04:00:00Z,46,44
2023-08-25T05:00:00Z,61,62
2023-08-25T06:00:00Z,105,132
2023-08-25T07:00:00Z,169,242
2023-08-25T08:00:00Z,281,353
2023-08-25T09:00:00Z,384,496
2023-08-25T10:00:00Z,499,637
2023-08-25T11:00:00Z,618,768
2023-08-25T12:00:00Z,735,862
2023-08-25T13:00:00Z,816,925
2023-08-25T14:00:00Z,882,949
2023-08-25T15:00:00Z,930,927
2023-08-25T16:00:00Z,946,867
2023-08-25T17:00:00Z,928,757
2023-08-25T18:00:00Z,885,641
2023-08-25T19:00:00Z,823,496
2023-08-25T20:00:00Z,739,368
2023-08-25T21:00:00Z,618,230
2023-08-25T22:00:00Z,502,137
2023-08-25T23:00:00Z,375,69
2023-08-26T00:00:00Z,271,48
2023-08-26T01:00:00Z,191,74
2023-08-26T02:00:00Z,108,133
2023-08-26T03:00:00Z,63,239
2023-08-26T04:00:00Z,56,50
2023-08-26T05:00:00Z,73,72
2023-08-26T06:00:00Z,109,140
2023-08-26T07:00:00Z,175,244
2023-08-26T08:00:00Z,279,351
2023-08-26T09:00:00Z,380,509
2023-08-26T10:00:00Z,504,632
2023-08-26T11:00:00Z,618,771
2023-08-26T12:00:00Z,724,873
2023-08-26T13:00:00Z,813,924
2023-08-26T14:00:00Z,890,953
2023-08-26T15:00:00Z,944,925
2023-08-26T16:00:00Z,956,872
2023-08-26T17:00:00Z,937,765
2023-08-26T18:00:00Z,896,635
2023-08-26T19:00:00Z,816,502
2023-08-26T20:00:00Z,726,352
2023-08-26T21:00:00Z,617,236
2023-08-26T22:00:00Z,494,146
2023-08-26T23:00:00Z,384,72
2023-08-27T00:00:00Z,274,43
2023-08-27T01:00:00Z,180,71
2023-08-27T02:00:00Z,109,142
2023-08-27T03:00:00Z,71,236
2023-08-27T04:00:00Z,54,57
2023-08-27T05:00:00Z,72,72
2023-08-27T06:00:00Z,114,136
2023-08-27T07:00:00Z,180,245
2023-08-27T08:00:00Z,278,359
2023-08-27T09:00:00Z,390,501
2023-08-27T10:00:00Z,508,637
2023-08-27T11:00:00Z,619,766
2023-08-27T12:00:00Z,723,865
2023-08-27T13:00:00Z,829,922
2023-08-27T14:00:00Z,893,959
2023-08-27T15:00:00Z,928,924
2023-08-27T16:00:00Z,943,867
2023-08-27T17:00:00Z,937,760
2023-08-27T18:00:00Z,892,634
2023-08-27T19:00:00Z,813,501
2023-08-27T20:00:00Z,720,368
2023-08-27T21:00:00Z,617,240
2023-08-27T22:00:00Z,504,129
2023-08-27T23:00:00Z,389,70
2023-08-28T00:00:00Z,274,42
2023-08-28T01:00:00Z,179,68
2023-08-28T02:00:00Z,118,134
2023-08-28T03:00:00Z,68,242
2023-08-28T04:00:00Z,48,49
2023-08-28T05:00:00Z,63,77
2023-08-28T06:00:00Z,102,137
2023-08-28T07:00:00Z,184,236
2023-08-28T08:00:00Z,275,371
2023-08-28T09:00:00Z,379,503
2023-08-28T10:00:00Z,497,645
2023-08-28T11:00:00Z,615,765
2023-08-28T12:00:00Z,727,861
2023-08-28T13:00:00Z,804,940
2023-08-28T14:00:00Z,883,947
2023-08-28T15:00:00Z,935,939
2023-08-28T16:00:00Z,953,857
2023-08-28T17:00:00Z,936,771
2023-08-28T18:00:00Z,891,639
2023-08-28T19:00:00Z,818,504
2023-08-28T20:00:00Z,727,362
2023-08-28T21:00:00Z,612,235
2023-08-28T22:00:00Z,501,138
2023-08-28T23:00:00Z,380,69
2023-08-29T00:00:00Z,275,50
2023-08-29T01:00:00Z,188,65
2023-08-29T02:00:00Z,107,141
2023-08-29T03:00:00Z,62,242
2023-08-29T04:00:00Z,49,56
2023-08-29T05:00:00Z,64,73
2023-08-29T06:00:00Z,113,134
2023-08-29T07:00:00Z,188,239
2023-08-29T08:00:00Z,275,361
2023-08-29T09:00:00Z,379,505
2023-08-29T10:00:00Z,493,636
2023-08-29T11:00:00Z,616,760
2023-08-29T12:00:00Z,724,854
2023-08-29T13:00:00Z,822,933
2023-08-29T14:00:00Z,893,952
2023-08-29T15:00:00Z,932,924
2023-08-29T16:00:00Z,947,866
2023-08-29T17:00:00Z,934,766
2023-08-29T18:00:00Z,889,634
2023-08-29T19:00:00Z,811,495
2023-08-29T20:00:00Z,720,357
2023-08-29T21:00:00Z,616,232
2023-08-29T22:00:00Z,508,138
2023-08-29T23:00:00Z,387,71
2023-08-30T00:00:00Z,277,53
2023-08-30T01:00:00Z,181,75
2023-08-30T02:00:00Z,108,138
2023-08-30T03:00:00Z,67,238
2023-08-30T04:00:00Z,52,47
2023-08-30T05:00:00Z,72,68
2023-08-30T06:00:00Z,110,123
2023-08-30T07:00:00Z,183,226
2023-08-30T08:00:00Z,272,360
2023-08-30T09:00:00Z,381,499
2023-08-30T10:00:00Z,495,642
2023-08-30T11:00:00Z,611,764
2023-08-30T12:00:00Z,723,867
2023-08-30T13:00:00Z,812,926
2023-08-30T14:00:00Z,887,949
2023-08-30T15:00:00Z,932,922
2023-08-30T16:00:00Z,948,863
2023-08-30T17:00:00Z,929,763
2023-08-30T18:00:00Z,889,634
2023-08-30T19:00:00Z,821,507
2023-08-30T20:00:00Z,730,361
2023-08-30T21:00:00Z,607,240
2023-08-30T22:00:00Z,493,134
2023-08-30T23:00:00Z,382,70
2023-08-31T00:00:00Z,276,58
2023-08-31T01:00:00Z,179,59
2023-08-31T02:00:00Z,109,143
2023-08-31T03:00:00Z,63,239
2023-08-31T04:00:00Z,54,41
2023-08-31T05:00:00Z,67,69
2023-08-31T06:00:00Z,114,138
2023-08-31T07:00:00Z,187,238
2023-08-31T08:00:00Z,284,357
2023-08-31T09:00:00Z,390,496
2023-08-31T10:00:00Z,499,642
2023-08-31T11:00:00Z,616,766
2023-08-31T12:00:00Z,719,865
2023-08-31T13:00:00Z,818,933
2023-08-31T14:00:00Z,888,948
2023-08-31T15:00:00Z,926,920
2023-08-31T16:00:00Z,941,863
2023-08-31T17:00:00Z,938,753
2023-08-31T18:00:00Z,891,639
